START RECORDING at 22/02/2021 15:02:26
Elapsed(sec),Counter
187.553,161.80
187.682,161.90
187.812,162.00
187.941,162.10
188.071,162.20
188.201,162.30
188.330,162.40
188.457,162.50
188.583,162.60
188.709,162.70
188.835,162.80
188.961,162.90
189.088,163.00
189.215,163.10
189.343,163.20
189.472,163.30
189.598,163.40
189.723,163.50
189.846,163.60
189.969,163.70
190.092,163.80
190.216,163.90
190.339,164.00
190.463,164.10
190.588,164.20
190.713,164.30
190.836,164.40
190.958,164.50
191.079,164.60
191.200,164.70
191.320,164.80
191.441,164.90
191.561,165.00
191.682,165.10
191.804,165.20
191.926,165.30
192.048,165.40
192.169,165.50
192.289,165.60
192.409,165.70
192.529,165.80
192.650,165.90
192.770,166.00
192.891,166.10
193.014,166.20
193.137,166.30
193.261,166.40
193.384,166.50
193.507,166.60
193.630,166.70
193.753,166.80
193.878,166.90
194.002,167.00
194.127,167.10
194.254,167.20
194.381,167.30
194.508,167.40
194.635,167.50
194.761,167.60
194.887,167.70
195.013,167.80
195.140,167.90
195.266,168.00
195.393,168.10
195.520,168.20
195.648,168.30
195.774,168.40
195.898,168.50
196.019,168.60
196.138,168.70
196.257,168.80
196.376,168.90
196.493,169.00
196.611,169.10
196.730,169.20
196.848,169.30
196.967,169.40
197.085,169.50
197.202,169.60
197.320,169.70
197.439,169.80
197.558,169.90
197.678,170.00
197.798,170.10
197.919,170.20
198.040,170.30
198.160,170.40
198.279,170.50
198.396,170.60
198.514,170.70
198.632,170.80
198.751,170.90
198.869,171.00
198.987,171.10
199.106,171.20
199.224,171.30
199.340,171.40
199.456,171.50
199.571,171.60
199.686,171.70
199.802,171.80
199.917,171.90
200.033,172.00
200.148,172.10
200.265,172.20
200.381,172.30
200.496,172.40
200.611,172.50
200.724,172.60
200.838,172.70
200.951,172.80
