START RECORDING at 22/02/2021 15:02:26
Elapsed(sec),Counter
265.285,167.70
265.464,167.80
265.641,167.90
265.814,168.00
265.986,168.10
266.156,168.20
266.328,168.30
266.503,168.40
266.679,168.50
266.855,168.60
267.030,168.70
267.203,168.80
267.372,168.90
267.539,169.00
267.702,169.10
267.863,169.20
268.024,169.30
268.188,169.40
268.352,169.50
268.515,169.60
268.677,169.70
268.837,169.80
268.995,169.90
269.150,170.00
269.304,170.10
269.457,170.20
269.611,170.30
269.768,170.40
269.925,170.50
270.084,170.60
270.244,170.70
270.401,170.80
270.558,170.90
270.713,171.00
270.867,171.10
271.019,171.20
271.171,171.30
271.326,171.40
271.481,171.50
271.636,171.60
271.791,171.70
271.944,171.80
272.095,171.90
272.244,172.00
272.391,172.10
272.539,172.20
272.687,172.30
272.838,172.40
272.990,172.50
273.142,172.60
273.294,172.70
273.445,172.80
